"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"Grey gurnard",2004,3,"Whiting",9,89064.5159780872
"Grey gurnard",2005,3,"Whiting",9,76176.1440477587
"Grey gurnard",2006,3,"Whiting",9,83378.8847955634
"Grey gurnard",2007,3,"Whiting",9,109201.028304805
"Grey gurnard",2008,3,"Whiting",9,95437.7448645664
"Grey gurnard",2009,3,"Whiting",9,51483.1987420851
"Grey gurnard",2010,3,"Whiting",9,108627.757711276
"Grey gurnard",2011,3,"Whiting",9,97940.5085934148
"Grey gurnard",2012,3,"Whiting",9,66480.6876303881
"Grey gurnard",2013,3,"Whiting",9,83805.9673461283
"Grey gurnard",2014,3,"Whiting",9,94108.818699635
"Grey gurnard",2015,3,"Whiting",9,131531.670107383
"Grey gurnard",2016,3,"Whiting",9,138746.052576018
"Grey gurnard",2017,3,"Whiting",9,96310.4859367151
"Grey gurnard",2018,3,"Whiting",9,57172.6957860126
"Grey gurnard",2019,3,"Whiting",9,71118.8578488972
"Horse mackerel",1974,4,"Whiting",9,30811.78790136
"Horse mackerel",1975,4,"Whiting",9,31241.45168388
"Horse mackerel",1976,4,"Whiting",9,27696.940654788
"Horse mackerel",1977,4,"Whiting",9,26122.046564484
"Horse mackerel",1978,4,"Whiting",9,20645.2737954
"Horse mackerel",1979,4,"Whiting",9,27000.364365
"Horse mackerel",1980,4,"Whiting",9,24435.101352816
"Horse mackerel",1981,4,"Whiting",9,23993.534004876
"Horse mackerel",1982,4,"Whiting",9,20384.6200903584
"Horse mackerel",1983,4,"Whiting",9,21940.2997668
"Horse mackerel",1984,4,"Whiting",9,19850.260652838
"Horse mackerel",1985,4,"Whiting",9,22235.082432192
"Horse mackerel",1986,4,"Whiting",9,23898.469414842
"Horse mackerel",1987,4,"Whiting",9,23007.062328156
"Horse mackerel",1988,4,"Whiting",9,26436.6724248
"Horse mackerel",1989,4,"Whiting",9,20349.653096943
"Horse mackerel",1990,4,"Whiting",9,19621.0609649712
"Horse mackerel",1991,4,"Whiting",9,18896.0782693887
"Horse mackerel",1992,4,"Whiting",9,19933.52498019
"Horse mackerel",1993,4,"Whiting",9,20197.3418523342
"Horse mackerel",1994,4,"Whiting",9,16635.442366512
"Horse mackerel",1995,4,"Whiting",9,16936.4319016968
"Horse mackerel",1996,4,"Whiting",9,13930.969098636
"Horse mackerel",1997,4,"Whiting",9,18583.3037507139
"Horse mackerel",1998,4,"Whiting",9,21011.13004014
"Horse mackerel",1999,4,"Whiting",9,16749.45190764
"Horse mackerel",2000,4,"Whiting",9,19318.024430523
"Horse mackerel",2001,4,"Whiting",9,20386.50270336
"Horse mackerel",2002,4,"Whiting",9,17056.339974765
"Horse mackerel",2003,4,"Whiting",9,14880.0023257248
"Horse mackerel",2004,4,"Whiting",9,16266.193531452
"Horse mackerel",2005,4,"Whiting",9,14744.7494009307
"Horse mackerel",2006,4,"Whiting",9,14195.1668644935
"Horse mackerel",2007,4,"Whiting",9,16191.451931616
"Horse mackerel",2008,4,"Whiting",9,15076.626639066
"Horse mackerel",2009,4,"Whiting",9,11243.9616188211
"Horse mackerel",2010,4,"Whiting",9,14246.1743846625
"Horse mackerel",2011,4,"Whiting",9,13044.546121041
"Horse mackerel",2012,4,"Whiting",9,10438.0374670848
"Horse mackerel",2013,4,"Whiting",9,11001.465156366
"Horse mackerel",2014,4,"Whiting",9,14371.9441035885
"Horse mackerel",2015,4,"Whiting",9,16871.5895966037
"Horse mackerel",2016,4,"Whiting",9,18593.8759169343
"Horse mackerel",2017,4,"Whiting",9,12601.6083411372
"Horse mackerel",2018,4,"Whiting",9,12293.4154850208
"Horse mackerel",2019,4,"Whiting",9,14931.8634026205
"Grey.seal",1974,5,"Whiting",9,863.250960056419
"Grey.seal",1975,5,"Whiting",9,1249.08253302041
"Grey.seal",1976,5,"Whiting",9,1445.98705140831
"Grey.seal",1977,5,"Whiting",9,1612.47610090203
"Grey.seal",1978,5,"Whiting",9,1685.33002733528
"Grey.seal",1979,5,"Whiting",9,1531.75716117755
"Grey.seal",1980,5,"Whiting",9,1475.11920401493
"Grey.seal",1981,5,"Whiting",9,1378.67044051197
"Grey.seal",1982,5,"Whiting",9,1381.86056317072
"Grey.seal",1983,5,"Whiting",9,1260.65134780178
"Grey.seal",1984,5,"Whiting",9,1089.94208901198
"Grey.seal",1985,5,"Whiting",9,1089.86805383066
"Grey.seal",1986,5,"Whiting",9,1561.08533365885
"Grey.seal",1987,5,"Whiting",9,1540.79010457511
"Grey.seal",1988,5,"Whiting",9,1706.74274280374
"Grey.seal",1989,5,"Whiting",9,2368.42364596261
"Grey.seal",1990,5,"Whiting",9,2493.87415743548
"Grey.seal",1991,5,"Whiting",9,2419.08494558396
"Grey.seal",1992,5,"Whiting",9,2148.64408725574
"Grey.seal",1993,5,"Whiting",9,1910.09313291643
"Grey.seal",1994,5,"Whiting",9,1467.62255014218
"Grey.seal",1995,5,"Whiting",9,1818.6905314448
"Grey.seal",1996,5,"Whiting",9,1593.19722579674
"Grey.seal",1997,5,"Whiting",9,1327.26994926596
"Grey.seal",1998,5,"Whiting",9,2289.67486241084
"Grey.seal",1999,5,"Whiting",9,1873.44841717653
"Grey.seal",2000,5,"Whiting",9,2661.97930368095
"Grey.seal",2001,5,"Whiting",9,3445.35910051622
"Grey.seal",2002,5,"Whiting",9,4133.66737322527
"Grey.seal",2003,5,"Whiting",9,4020.11219845575
"Grey.seal",2004,5,"Whiting",9,3990.66024109169
"Grey.seal",2005,5,"Whiting",9,4406.8030537899
"Grey.seal",2006,5,"Whiting",9,3053.23622654319
"Grey.seal",2007,5,"Whiting",9,2423.75249574743
"Grey.seal",2008,5,"Whiting",9,2755.84842720174
"Grey.seal",2009,5,"Whiting",9,2227.46461550287
