"Year","Species.n","Age","M2"
1994,26,1,0
1994,23,1,0.506125364901227
1994,19,1,0
1994,27,1,0
1994,25,1,1.09512827025046
1994,17,1,0.993713345868511
1995,16,1,0.947535170691523
1995,18,1,1.04112346564937
1995,21,1,0.404796182998689
1995,20,1,0
1995,22,1,1.17030074229399
1995,24,1,1.44548136680442
1995,26,1,0
1995,23,1,0.507559103056557
1995,19,1,0
1995,27,1,0
1995,25,1,1.1731587502282
1995,17,1,1.05268884345149
1996,16,1,1.06864298951662
1996,18,1,1.18182094667844
1996,21,1,0.451896189639258
1996,20,1,0
1996,22,1,1.09248886614962
1996,24,1,1.61106964693167
1996,26,1,0
1996,23,1,0.526179696717858
1996,19,1,0
1996,27,1,0
1996,25,1,1.06146567976024
1996,17,1,1.17980666279996
1997,16,1,0.903651249218923
1997,18,1,0.780204871492499
1997,21,1,0.347802249063471
1997,20,1,0
1997,22,1,1.01423439594421
1997,24,1,1.30498631692674
1997,26,1,0
1997,23,1,0.444120811679284
1997,19,1,0
1997,27,1,0
1997,25,1,0.688481195363596
1997,17,1,0.944106532840753
1998,16,1,1.07437796267026
1998,18,1,1.01198850386648
1998,21,1,0.41343046032179
1998,20,1,0
1998,22,1,1.14664704051115
1998,24,1,1.54850007748529
1998,26,1,0
1998,23,1,0.538747265954365
1998,19,1,0
1998,27,1,0
1998,25,1,0.692761630783258
1998,17,1,1.15288820995972
1999,16,1,0.980500229269775
1999,18,1,0.846080690357904
1999,21,1,0.386783608842602
1999,20,1,0
1999,22,1,0.945055978863506
1999,24,1,1.51423297079077
1999,26,1,0
1999,23,1,0.562106460460826
1999,19,1,0
1999,27,1,0
1999,25,1,1.08201709831584
1999,17,1,1.26560970847685
2000,16,1,0.806207380472345
2000,18,1,0.627970948662324
2000,21,1,0.353449649991157
2000,20,1,0
2000,22,1,1.40104076430754
2000,24,1,1.26051339800341
2000,26,1,0
2000,23,1,0.52567044365387
2000,19,1,0
2000,27,1,0
2000,25,1,0.878524592103222
2000,17,1,0.689246171607311
2001,16,1,0.851963963964214
2001,18,1,0.752092599253458
2001,21,1,0.455160598739943
2001,20,1,0
2001,22,1,1.56405990111118
2001,24,1,1.85992079508482
2001,26,1,0
2001,23,1,0.51907180293264
2001,19,1,0
2001,27,1,0
2001,25,1,1.09900083184799
2001,17,1,1.11052556164289
2002,16,1,0.876731884900071
2002,18,1,0.928647382944456
2002,21,1,0.418834450004255
2002,20,1,0
2002,22,1,1.35410365183368
2002,24,1,2.05321324033794
2002,26,1,0
2002,23,1,0.479266110960965
2002,19,1,0
2002,27,1,0
2002,25,1,0.793638778509771
2002,17,1,1.44465481926364
2003,16,1,0.923786090509638
2003,18,1,0.990429018728039
2003,21,1,0.522364469801632
2003,20,1,0
2003,22,1,1.57345189980085
2003,24,1,1.92907395507485
2003,26,1,0
2003,23,1,0.673397721415122
2003,19,1,0
2003,27,1,0
2003,25,1,1.01978539672842
2003,17,1,1.61343210263234
2004,16,1,0.946032749279395
2004,18,1,1.34428058296149
2004,21,1,0.566859244370713
2004,20,1,0
2004,22,1,1.49443332219945
