Year Species.n Age M1 M2 M F Z N  
2056 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2056 2 3 0.0980807 0.0541092 0.15219 0.203513 0.355703 8.3276e+06 
2056 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2056 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2056 2 6 0.0968775 0.0336866 0.130564 0.39489 0.525455 2.02429e+06 
2056 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2056 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76234e+06 
2057 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2057 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2057 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2057 2 3 0.0980807 0.0541092 0.15219 0.203513 0.355703 8.3276e+06 
2057 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2057 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2057 2 6 0.0968775 0.0336866 0.130564 0.39489 0.525455 2.02429e+06 
2057 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2057 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76234e+06 
2058 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2058 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2058 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2058 2 3 0.0980807 0.0541092 0.15219 0.203513 0.355703 8.3276e+06 
