"Year","Species.n","Age","M2"
2007,3,3,0.162328622792909
2008,2,3,0.149504207972158
2008,3,3,0.172080571286037
2009,2,3,0.149498036321993
2009,3,3,0.165964402730538
2010,2,3,0.178136151017654
2010,3,3,0.200063669611238
2011,2,3,0.185641158565992
2011,3,3,0.209733979499716
2012,2,3,0.145277816029811
2012,3,3,0.159066844349708
2013,2,3,0.0960763385926078
2013,3,3,0.142007206782556
2014,2,3,0.111098400078231
2014,3,3,0.157652787166063
2015,2,3,0.0950607444039071
2015,3,3,0.114450794183864
2016,2,3,0.0937039376845467
2016,3,3,0.110191537368738
2017,2,3,0.0993963564066396
2017,3,3,0.10236443910357
2018,2,3,0.0619313056686822
2018,3,3,0.0881826075206022
2019,2,3,0.0688244599028485
2019,3,3,0.084318506846015
2020,2,3,0.0590395990748566
2020,3,3,0.0730746617177736
2021,2,3,0.0655862373782384
2021,3,3,0.0693018955873759
1974,2,4,0.130334575851509
1974,3,4,0.245371608399833
1975,2,4,0.152713862121985
1975,3,4,0.274083508304063
1976,2,4,0.137319436022362
1976,3,4,0.215298252178813
1977,2,4,0.150103068044182
1977,3,4,0.257103686645162
1978,2,4,0.219043163067368
1978,3,4,0.433736303071558
1979,2,4,0.237591361600095
1979,3,4,0.567624583405863
1980,2,4,0.273724338729989
1980,3,4,0.540716536409799
1981,2,4,0.241701792150018
1981,3,4,0.436131349292774
1982,2,4,0.232898543835125
1982,3,4,0.464981063681779
1983,2,4,0.251351048020444
1983,3,4,0.390813436125366
1984,2,4,0.200227105469002
1984,3,4,0.317784964998211
1985,2,4,0.176436504574696
1985,3,4,0.268759832207282
1986,2,4,0.162767781746158
1986,3,4,0.2342400622124
1987,2,4,0.150283725017661
1987,3,4,0.219755203102549
1988,2,4,0.155297715701613
1988,3,4,0.230746226908434
1989,2,4,0.141846151328225
1989,3,4,0.170650573834066
1990,2,4,0.0930971612169102
1990,3,4,0.0972004162895227
1991,2,4,0.0485699837829539
1991,3,4,0.0624473466828824
1992,2,4,0.0447665567087014
1992,3,4,0.0633129196076213
1993,2,4,0.0885526610571756
1993,3,4,0.109909689107836
1994,2,4,0.0917928328189968
1994,3,4,0.103784814805403
1995,2,4,0.0933642631092672
1995,3,4,0.0901766803503115
1996,2,4,0.0815368725820638
1996,3,4,0.0752560131214961
1997,2,4,0.0693536335965892
1997,3,4,0.0646134182531456
1998,2,4,0.0596491376590914
1998,3,4,0.0738644237090664
1999,2,4,0.0735497746818427
1999,3,4,0.0904775606476524
2000,2,4,0.110493855356938
2000,3,4,0.11207306692483
2001,2,4,0.111346235919661
2001,3,4,0.120041944757487
2002,2,4,0.108184364220541
2002,3,4,0.130666094043959
2003,2,4,0.0802826812619074
2003,3,4,0.108939608540688
2004,2,4,0.0846537137373838
2004,3,4,0.0874226530922117
2005,2,4,0.110684836859755
2005,3,4,0.123113984904363
2006,2,4,0.134965317469253
2006,3,4,0.160219216481219
2007,2,4,0.12400734840502
2007,3,4,0.161048876942729
2008,2,4,0.127245586593182
2008,3,4,0.161787012759936
2009,2,4,0.138425614537249
2009,3,4,0.158218456110079
2010,2,4,0.140486068129627
2010,3,4,0.188136176004538
2011,2,4,0.145501323133281
2011,3,4,0.194576375553747
2012,2,4,0.1126510370621
2012,3,4,0.157413388044584
2013,2,4,0.101858038888948
2013,3,4,0.133601260140861
2014,2,4,0.0768495277669358
2014,3,4,0.139571641752534
2015,2,4,0.0758852935735679
2015,3,4,0.106313269989063
2016,2,4,0.0813957345111219
2016,3,4,0.0986819393114543
2017,2,4,0.0641737513900959
2017,3,4,0.0869781479983008
2018,2,4,0.0604458775235291
2018,3,4,0.0853878059200816
2019,2,4,0.0517696963993168
2019,3,4,0.0787719151934181
2020,2,4,0.0520144129643367
2020,3,4,0.0676373043108817
2021,2,4,0.0512859677749849
2021,3,4,0.0662683028407548
1974,2,5,0.116595705509411
1974,3,5,0.245371546348566
1975,2,5,0.137961650571097
1975,3,5,0.274083538481799
1976,2,5,0.124703822555072
1976,3,5,0.215298231978651
1977,2,5,0.136319165727461
1977,3,5,0.257103760009025
1978,2,5,0.195838892292911
1978,3,5,0.42253006983756
1979,2,5,0.223426823476118
1979,3,5,0.51019576638019
1980,2,5,0.279213991150404
1980,3,5,0.551151756508099
1981,2,5,0.208425162767213
1981,3,5,0.439328381112271
1982,2,5,0.198753407771139
1982,3,5,0.437652638252454
1983,2,5,0.208060537261223
1983,3,5,0.376324949620051
1984,2,5,0.198730197910056
1984,3,5,0.301774117742507
1985,2,5,0.144845868308061
1985,3,5,0.249621735320657
1986,2,5,0.141071170303091
1986,3,5,0.219356474038848
1987,2,5,0.115300822191617
1987,3,5,0.215390690037768
1988,2,5,0.136326102106091
1988,3,5,0.214811814575472
1989,2,5,0.114501651946485
1989,3,5,0.161523783771187
1990,2,5,0.0669289028299093
1990,3,5,0.0913500355499792
1991,2,5,0.0590466832395292
1991,3,5,0.0603359363990802
1992,2,5,0.0363003916906544
1992,3,5,0.0597669401839056
1993,2,5,0.070457385120006
1993,3,5,0.106198937783936
1994,2,5,0.0810687605462766
1994,3,5,0.101550325103407
1995,2,5,0.0827260434112127
1995,3,5,0.0860699738167308
1996,2,5,0.0737531551231543
1996,3,5,0.0698376309164182
1997,2,5,0.0601217247394058
1997,3,5,0.0576538805501274
1998,2,5,0.051720471846971
1998,3,5,0.0664331503841095
1999,2,5,0.0616070523263539
1999,3,5,0.0892031245364501
2000,2,5,0.102007134696606
2000,3,5,0.107965164404009
2001,2,5,0.098014235764462
2001,3,5,0.114044957862349
2002,2,5,0.101838382814438
2002,3,5,0.1301909539584
2003,2,5,0.0739419767242361
2003,3,5,0.103623399350723
2004,2,5,0.0665082920864335
2004,3,5,0.0894973667825461
2005,2,5,0.0862363544497413
2005,3,5,0.118341074825503
2006,2,5,0.109842174696991
2006,3,5,0.140909652803381
2007,2,5,0.111357195262739
2007,3,5,0.158502399424685
2008,2,5,0.101632857915221
2008,3,5,0.166129394267063
2009,2,5,0.11198142839605
2009,3,5,0.154774515143564
